id;noteDEA;noteDYS;choix1;choix2;choix3
eleve1;14;14;BIO;NRJ;EOC
eleve2;17;17;BIO;NRJ;EOC
eleve3;16;13;BIO;NRJ;EOC
eleve4;17;16;BIO;NRJ;EOC
eleve5;14;18;BIO;NRJ;EOC
eleve6;13;16;BIO;NRJ;EOC
eleve7;15;15;BIO;NRJ;EOC
eleve8;17;12;BIO;NRJ;EOC
eleve9;14;18;BIO;NRJ;EOC
eleve10;15;15;BIO;NRJ;EOC
eleve11;12;12;NRJ;EOC;BIO
eleve12;12;17;NRJ;EOC;BIO
eleve13;16;16;NRJ;EOC;BIO
eleve14;17;14;NRJ;EOC;BIO
eleve15;12;12;NRJ;EOC;BIO
eleve16;12;17;NRJ;EOC;BIO
eleve17;15;13;NRJ;EOC;BIO
eleve18;16;12;NRJ;EOC;BIO
eleve19;18;15;NRJ;EOC;BIO
eleve20;18;17;NRJ;EOC;BIO
eleve21;15;12;EOC;BIO;NRJ
eleve22;12;15;EOC;BIO;NRJ
eleve23;18;16;EOC;BIO;NRJ
eleve24;18;13;EOC;BIO;NRJ
eleve25;15;15;EOC;BIO;NRJ
eleve26;17;15;EOC;BIO;NRJ
eleve27;18;18;EOC;BIO;NRJ
eleve28;15;15;EOC;BIO;NRJ
eleve29;17;13;EOC;BIO;NRJ
eleve30;18;18;EOC;BIO;NRJ
eleve31;16;15;LD;SE;CSS
eleve32;12;14;LD;SE;CSS
eleve33;12;14;LD;SE;CSS
eleve34;14;18;LD;SE;CSS
eleve35;16;12;LD;SE;CSS
eleve36;15;14;LD;SE;CSS
eleve37;16;13;LD;SE;CSS
eleve38;16;16;LD;SE;CSS
eleve39;14;16;LD;SE;CSS
eleve40;14;18;LD;SE;CSS
eleve41;13;12;SE;CSS;LD
eleve42;18;14;SE;CSS;LD
eleve43;13;18;SE;CSS;LD
eleve44;13;18;SE;CSS;LD
eleve45;14;16;SE;CSS;LD
eleve46;17;18;SE;CSS;LD
eleve47;14;16;SE;CSS;LD
eleve48;12;17;SE;CSS;LD
eleve49;16;13;SE;CSS;LD
eleve50;15;13;SE;CSS;LD
eleve51;14;18;CSS;LD;SE
eleve52;15;13;CSS;LD;SE
eleve53;13;17;CSS;LD;SE
eleve54;15;15;CSS;LD;SE
eleve55;13;18;CSS;LD;SE
eleve56;18;13;CSS;LD;SE
eleve57;12;17;CSS;LD;SE
eleve58;18;17;CSS;LD;SE
eleve59;13;16;CSS;LD;SE
eleve60;12;14;CSS;LD;SE
eleve61;12;12;BIO;NRJ;EOC
eleve62;16;13;BIO;NRJ;EOC
eleve63;18;8;BIO;NRJ;EOC
eleve64;17;13;BIO;NRJ;EOC
